State,Regions,latitude,longitude,Date,Usage,temperature_2m_max,temperature_2m_min,precipitation_sum,wind_speed_10m_max
Punjab,NR,31.51997398,75.98000281,2019-01-02,119.9,18.5,6.0,0.2,10.4
Haryana,NR,28.45000633,77.01999101,2019-01-02,130.3,21.3,8.5,0.0,13.4
Rajasthan,NR,26.44999921,74.63998124,2019-01-02,234.1,23.8,7.3,0.0,11.6
Delhi,NR,28.6699929,77.23000403,2019-01-02,85.8,21.3,7.7,0.0,9.2
UP,NR,27.59998069,78.05000565,2019-01-02,313.9,21.7,7.3,0.0,7.9
Uttarakhand,NR,30.32040895,78.05000565,2019-01-02,40.7,7.5,-1.3,2.9,9.8
HP,NR,31.10002545,77.16659704,2019-01-02,30.0,2.2,-1.1,10.8,7.6
J&K,NR,33.45,76.24,2019-01-02,52.5,-22.8,-29.5,5.5,4.3
Chandigarh,NR,30.71999697,76.78000565,2019-01-02,5.0,19.2,8.5,0.3,12.6
Chhattisgarh,WR,22.09042035,82.15998734,2019-01-02,78.7,24.5,11.6,0.0,10.5
Gujarat,WR,22.2587,71.1924,2019-01-02,319.5,28.2,12.8,0.0,12.1
MP,WR,21.30039105,76.13001949,2019-01-02,253.0,26.1,11.3,0.0,10.8
Maharashtra,WR,19.25023195,73.16017493,2019-01-02,428.6,28.1,10.4,0.0,9.5
Goa,WR,15.491997,73.81800065,2019-01-02,12.8,34.9,17.7,0.0,10.9
DNH,WR,20.26657819,73.0166178,2019-01-02,18.6,28.7,14.6,0.0,18.7
Andhra Pradesh,SR,14.7504291,78.57002559,2019-01-02,164.6,29.0,14.4,0.0,8.9
Telangana,SR,18.1124,79.0193,2019-01-02,204.2,29.6,13.6,0.0,9.8
Karnataka,SR,12.57038129,76.91999711,2019-01-02,206.3,28.9,13.3,0.0,17.3
Kerala,SR,8.900372741,76.56999263,2019-01-02,72.7,33.2,21.1,0.0,23.7
Tamil Nadu,SR,12.92038576,79.15004187,2019-01-02,268.3,28.7,17.2,0.0,16.3
Pondy,SR,11.93499371,79.83000037,2019-01-02,6.3,26.2,21.2,0.0,22.5
Bihar,ER,25.78541445,87.4799727,2019-01-02,82.3,22.0,7.3,0.0,8.6
Jharkhand,ER,23.80039349,86.41998572,2019-01-02,24.8,22.9,8.9,0.0,9.6
Odisha,ER,19.82042971,85.90001746,2019-01-02,70.2,25.8,11.1,0.0,9.2
West Bengal,ER,22.58039044,88.32994665,2019-01-02,108.2,23.3,10.4,0.0,9.9
Sikkim,ER,27.3333303,88.6166475,2019-01-02,2.0,18.0,2.8,0.1,9.3
Arunachal Pradesh,NER,27.10039878,93.61660071,2019-01-02,2.1,11.8,2.4,0.0,7.4
Assam,NER,26.7499809,94.21666744,2019-01-02,21.7,22.0,11.3,0.0,7.2
Manipur,NER,24.79997072,93.95001705,2019-01-02,2.7,19.9,6.3,0.0,9.0
Meghalaya,NER,25.57049217,91.8800142,2019-01-02,6.1,13.9,2.0,0.0,12.0
Mizoram,NER,23.71039899,92.72001461,2019-01-02,1.9,22.6,7.6,0.0,6.7
Nagaland,NER,25.6669979,94.11657019,2019-01-02,2.2,16.0,6.0,0.0,9.0
Tripura,NER,23.83540428,91.27999914,2019-01-02,3.4,25.0,12.0,0.0,8.7
Punjab,NR,31.51997398,75.98000281,2019-01-03,121.9,18.5,4.6,0.0,11.1
Haryana,NR,28.45000633,77.01999101,2019-01-03,133.5,20.9,6.4,0.0,13.0
Rajasthan,NR,26.44999921,74.63998124,2019-01-03,240.2,23.1,8.6,0.0,12.4
Delhi,NR,28.6699929,77.23000403,2019-01-03,85.5,20.8,7.1,0.0,15.2
UP,NR,27.59998069,78.05000565,2019-01-03,311.8,21.7,7.4,0.0,11.0
Uttarakhand,NR,30.32040895,78.05000565,2019-01-03,39.3,6.7,-3.5,0.0,10.5
HP,NR,31.10002545,77.16659704,2019-01-03,30.1,5.5,-5.1,1.4,9.1
J&K,NR,33.45,76.24,2019-01-03,54.1,-28.0,-37.1,0.0,5.4
Chandigarh,NR,30.71999697,76.78000565,2019-01-03,4.9,19.6,7.2,0.0,19.5
Chhattisgarh,WR,22.09042035,82.15998734,2019-01-03,78.8,25.2,10.8,0.0,9.9
Gujarat,WR,22.2587,71.1924,2019-01-03,316.7,28.1,13.5,0.0,13.1
MP,WR,21.30039105,76.13001949,2019-01-03,253.6,24.9,9.3,0.0,10.6
Maharashtra,WR,19.25023195,73.16017493,2019-01-03,419.6,28.5,10.8,0.0,8.4
Goa,WR,15.491997,73.81800065,2019-01-03,13.7,35.0,16.8,0.0,11.3
DNH,WR,20.26657819,73.0166178,2019-01-03,18.2,28.2,16.2,0.0,16.9
Andhra Pradesh,SR,14.7504291,78.57002559,2019-01-03,170.1,30.4,16.0,0.0,8.4
Telangana,SR,18.1124,79.0193,2019-01-03,204.5,31.2,14.9,0.0,10.2
Karnataka,SR,12.57038129,76.91999711,2019-01-03,212.2,29.4,14.3,0.0,18.1
Kerala,SR,8.900372741,76.56999263,2019-01-03,73.6,34.3,22.6,0.0,25.9
Tamil Nadu,SR,12.92038576,79.15004187,2019-01-03,285.2,29.5,19.3,0.0,14.5
Pondy,SR,11.93499371,79.83000037,2019-01-03,6.5,27.1,20.9,0.0,20.4
Bihar,ER,25.78541445,87.4799727,2019-01-03,82.0,22.1,8.1,0.0,11.7
Jharkhand,ER,23.80039349,86.41998572,2019-01-03,25.6,22.6,8.9,0.0,14.6
Odisha,ER,19.82042971,85.90001746,2019-01-03,67.9,27.6,13.9,0.0,7.7
West Bengal,ER,22.58039044,88.32994665,2019-01-03,110.2,23.5,8.9,0.0,9.9
Sikkim,ER,27.3333303,88.6166475,2019-01-03,1.9,9.4,4.8,24.2,8.9
Arunachal Pradesh,NER,27.10039878,93.61660071,2019-01-03,2.2,10.3,2.5,0.8,8.4
Assam,NER,26.7499809,94.21666744,2019-01-03,23.4,21.9,12.9,0.4,6.6
Manipur,NER,24.79997072,93.95001705,2019-01-03,2.4,19.6,6.6,0.0,10.5
Meghalaya,NER,25.57049217,91.8800142,2019-01-03,6.5,12.3,2.9,0.0,12.6
Mizoram,NER,23.71039899,92.72001461,2019-01-03,1.8,22.1,7.7,0.0,6.6
Nagaland,NER,25.6669979,94.11657019,2019-01-03,2.2,15.4,4.5,0.2,9.2
Tripura,NER,23.83540428,91.27999914,2019-01-03,3.6,24.3,9.1,0.0,8.6
Punjab,NR,31.51997398,75.98000281,2019-01-04,118.8,17.2,3.6,0.0,10.1
Haryana,NR,28.45000633,77.01999101,2019-01-04,128.2,19.0,5.8,0.0,9.4
Rajasthan,NR,26.44999921,74.63998124,2019-01-04,239.8,24.5,8.7,0.0,13.9
Delhi,NR,28.6699929,77.23000403,2019-01-04,83.5,18.8,6.7,0.0,10.5
UP,NR,27.59998069,78.05000565,2019-01-04,320.7,21.3,7.5,0.0,9.3
Uttarakhand,NR,30.32040895,78.05000565,2019-01-04,38.1,9.8,-0.0,0.0,9.6
HP,NR,31.10002545,77.16659704,2019-01-04,30.1,7.7,-9.5,1.6,9.5
J&K,NR,33.45,76.24,2019-01-04,53.2,-22.3,-37.6,8.1,6.1
Chandigarh,NR,30.71999697,76.78000565,2019-01-04,4.8,18.9,8.7,0.0,13.4
Chhattisgarh,WR,22.09042035,82.15998734,2019-01-04,74.8,24.6,11.0,0.0,9.9
Gujarat,WR,22.2587,71.1924,2019-01-04,301.9,29.1,12.6,0.0,13.3
MP,WR,21.30039105,76.13001949,2019-01-04,239.3,25.3,11.1,0.0,11.2
Maharashtra,WR,19.25023195,73.16017493,2019-01-04,395.8,28.6,11.4,0.0,10.8
