time,temperature_2m_max,temperature_2m_min,precipitation_sum,wind_speed_10m_max,State
2023-01-02,31.6,20.4,0.2,14.4,Andhra Pradesh
2023-01-03,29.9,20.4,0.2,12.8,Andhra Pradesh
2023-01-04,29.6,20.8,1.6,13.6,Andhra Pradesh
2023-01-05,27.9,21.0,1.5,17.4,Andhra Pradesh
2023-01-06,29.9,20.2,0.3,13.3,Andhra Pradesh
2023-01-07,30.6,20.2,0.4,9.4,Andhra Pradesh
2023-01-08,29.2,17.5,0.0,11.5,Andhra Pradesh
2023-01-09,29.4,15.1,0.0,7.7,Andhra Pradesh
2023-01-10,30.4,16.2,0.0,12.7,Andhra Pradesh
2023-01-11,31.2,16.6,0.0,10.8,Andhra Pradesh
2023-01-12,31.6,16.9,0.0,11.2,Andhra Pradesh
2023-01-13,31.3,17.5,0.0,15.2,Andhra Pradesh
2023-01-14,31.3,18.1,0.0,12.8,Andhra Pradesh
2023-01-15,31.6,17.8,0.0,15.7,Andhra Pradesh
2023-01-16,31.4,17.4,0.0,16.4,Andhra Pradesh
2023-01-17,30.8,17.5,0.0,16.0,Andhra Pradesh
2023-01-18,31.4,17.8,0.0,17.3,Andhra Pradesh
2023-01-19,31.2,18.3,0.0,17.1,Andhra Pradesh
2023-01-20,31.7,19.1,0.0,15.8,Andhra Pradesh
2023-01-21,31.9,18.8,0.1,15.6,Andhra Pradesh
2023-01-22,30.8,19.6,0.0,17.1,Andhra Pradesh
2023-01-23,30.6,19.1,0.1,17.3,Andhra Pradesh
2023-01-24,31.2,19.2,0.0,16.9,Andhra Pradesh
2023-01-25,31.1,19.3,0.1,15.5,Andhra Pradesh
2023-01-26,31.3,18.1,0.0,14.6,Andhra Pradesh
2023-01-27,31.7,17.7,0.0,15.3,Andhra Pradesh
2023-01-28,32.7,17.4,0.0,16.3,Andhra Pradesh
2023-01-29,32.0,18.4,0.0,19.5,Andhra Pradesh
2023-01-30,32.4,21.4,0.0,19.2,Andhra Pradesh
2023-01-31,33.0,20.1,0.0,13.9,Andhra Pradesh
2023-02-01,33.4,19.4,0.0,16.8,Andhra Pradesh
2023-02-02,32.8,19.7,0.0,13.3,Andhra Pradesh
2023-02-03,32.5,20.7,0.0,15.4,Andhra Pradesh
2023-02-04,33.4,20.5,0.0,12.8,Andhra Pradesh
2023-02-05,33.5,19.7,0.0,16.2,Andhra Pradesh
2023-02-06,32.7,19.6,0.0,9.9,Andhra Pradesh
2023-02-07,33.9,20.4,0.0,16.0,Andhra Pradesh
2023-02-08,34.4,20.5,0.0,15.8,Andhra Pradesh
2023-02-09,34.4,20.1,0.0,16.6,Andhra Pradesh
2023-02-10,34.7,20.3,0.0,14.2,Andhra Pradesh
2023-02-11,35.2,19.3,0.0,13.0,Andhra Pradesh
2023-02-12,36.4,19.5,0.0,12.9,Andhra Pradesh
2023-02-13,35.6,20.6,0.0,15.3,Andhra Pradesh
2023-02-14,34.6,18.9,0.0,11.4,Andhra Pradesh
2023-02-15,35.7,17.6,0.0,11.8,Andhra Pradesh
2023-02-16,35.9,18.1,0.0,16.4,Andhra Pradesh
2023-02-17,34.9,19.9,0.0,16.1,Andhra Pradesh
2023-02-18,34.0,20.7,0.0,21.1,Andhra Pradesh
2023-02-19,33.7,20.2,0.0,18.4,Andhra Pradesh
2023-02-20,35.1,20.8,0.0,17.8,Andhra Pradesh
